"MakeModel";"Alias";"ModelId"
Aero Design AC500C;AC500vc;26
Aero Design AC500C;AC500W;26
Aero Design AC500C;AC500W C-GFDA;26
Aero Design AC500C;AC500W G-HAULwood VC;26
Aero Design AC500C;AC500W GHAULWood VC;26
Aero Design AC500C;AC500W N052NE;26
Aero Design AC500C;AC500W N054NE;26
Aero Design AC500C;AC500W N11GC VC;26
Aero Design AC500C;AC500W N500AS VC;26
Aero Design AC500C;AC500W N500MS Black Randi VC;26
Aero Design AC500C;AC500W N500MS VC;26
Aero Design AC500C;AC500W N500MS VC Grainy;26
Aero Design AC500C;AC500W N500MS VC N07BMC;26
Aero Design AC500C;"AC500W VH-ULA ""TINY DANCER"" VC";26
Aero Design AC500C;AC500W VH-WAH VC;26
Aero Design AC500C;AC520 Cargo;26
Aero Design AC500C;AC520 Factory Blue;26
Aero Design AC500C;AC520 Factory Green;26
Aero Design AC500C;AC520 N2609;26
Aero Design AC500C;AC520 NDW02;26
Aero Design AC500C;AC520 Pegasus;26
Aero Design AC500C;AC520 Pegasus (1);26
Aero Design AC500C;AC520 RED CROSS;26
Aero Design AC500C;AC520 Texas;26
Aero Design AC500C;AC520vc Factory Blue;26
Aero Design AC500C;AC520vc Factory Green;26
Aero Design AC500C;AC520vc N2609;26
Aero Design AC500C;AC520vc Pegasus;26
Aero Design AC500C;AC520vc Texas;26
Aero Design AC500C;AC560 Factory N2649B;26
Aero Design AC500C;AC560 Factory Spanish Red;26
Aero Design AC500C;AC560 FSX Factory N2649B;26
Aero Design AC500C;AC560 FSX Factory Orange;26
Aero Design AC500C;AC560 FSX Factory Spanish Red;26
Aero Design AC500C;AC560 Spanish Red;26
Aero Design AC500C;AC560A ONAS;26
Aero Design AC500C;AC560A Tasair;26
Aero Design AC500C;AC560vc Cardinal;26
Aero Design AC500C;AC560vc Factory HB-PAC;26
Aero Design AC500C;AC560vc Factory N2649B;26
Aero Design AC500C;AC560vc Factory Orange;26
Aero Design AC500C;AC560vc Factory Spanish Red;26
Aero Design AC500C;AC560vc Lukla Air Service;26
Aero Design AC500C;AC560vc N201QL;26
Aero Design AC500C;AC560vc N58D;26
Aero Design AC500C;AC560vc NedAir Adventure;26
Aero Design AC500C;AC560vc Tasair;26
Aero Design AC500C;AC560vc Weasel C-WSLA;26
Aero Design AC500C;AC560vc-1956 (paint circa 1969) N58D;26
Aero Design AC500C;Aero Commander 500S;26
Aero Design AC500C;Aero Commander 500S - Hinterland Aviation - VH-TFW;26
Aero Design AC500C;Aero Commander 560 - RONAIR Cargo Services;26
Aero Design AC500C;Aero Design AC500C;26
Aero Design AC500C;Aero Design AC500C Hoover;26
Aero Design AC500C;Aero Design AC500C N500MS;26
Aero Design AC500C;AeroCommander 500 Cargo VC Dirty;26
Aero Design AC500C;Alaska Adventures AC500 N050AK;26
Aero Design AC500C;Alaskan Winds AC500 Cargo VC;26
Aero Design AC500C;Alaskan Winds AC500S Shrike;26
Aero Design AC500C;Carenado 500S  Aero Commander VH-MIO;26
Aero Design AC500C;Carenado 500S Aero Commander AKA;26
Aero Design AC500C;Carenado 500S Aero Commander Brown I-CALT;26
Aero Design AC500C;Carenado 500S Aero Commander C-GAFA;26
Aero Design AC500C;Carenado 500S Aero Commander C6-PAS;26
Aero Design AC500C;Carenado 500S Aero Commander California Department of Forestry;26
Aero Design AC500C;Carenado 500S Aero Commander Cerberus;26
Aero Design AC500C;Carenado 500S Aero Commander Hinterland Aviation;26
Aero Design AC500C;Carenado 500S Aero Commander N120ET;26
Aero Design AC500C;Carenado 500S Aero Commander N15344;26
Aero Design AC500C;Carenado 500S Aero Commander N735TM;26
Aero Design AC500C;Carenado 500S Aero Commander N786E;26
Aero Design AC500C;Carenado 500S Aero Commander N79JS;26
Aero Design AC500C;Carenado 500S Aero Commander N909AK;26
Aero Design AC500C;Carenado 500S Aero Commander NOAA Operations;26
Aero Design AC500C;Carenado 500S Aero Commander Ordnance Survey;26
Aero Design AC500C;Carenado 500S Aero Commander TBJ;26
